texto,calificacion,lugar,categoria,fuente
todo en general Que haya que pagar en efectivo cuando en todos sitios admiten ya tarjeta,5,Hotel Roca Negra del Arenal,alojamiento,booking
"Excelente lugar, bien cuidado y atendido. La conexión de wifi",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Habitación. 
Exteriores muy cuidados.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Excepcional, excelente atención. Eugenia siempre dispuesta a responder las inquietudes. Las instalaciones son muy confortables y el entorno más bello que las publicadas.",5,Hotel Roca Negra del Arenal,alojamiento,booking
Su ubicación y la atención del personal Nada,5,Hotel Roca Negra del Arenal,alojamiento,booking
"Me gustó el jacuzzi y las vistas al volcan desde jardin Me gustaría más arreglado, un poco dejado en general",5,Hotel Roca Negra del Arenal,alojamiento,booking
"La habitación muy bonita, limpia y cómoda.  El entorno maravilloso, pero sobre todo destacar la amabilidad de las chicas de la recepción. Nos ayudaron en todo, a contratar transporte para el día siguiente, con las entradas de las termas, en fin lo que pidiéramos. Todo perfecto",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Realmente bonito, limpio y 💚 verde
La atención muy buena y cálida
Si volvería El desayuno",5,Hotel Roca Negra del Arenal,alojamiento,booking
Instalaciones,5,Hotel Roca Negra del Arenal,alojamiento,booking
"El complejo es precioso, rebosante de vegetación y con unas vistas al volcán Arenal increíbles. La piscina y el jacuzzi son una maravilla! 
Los bungalows son muy agradables, de buen tamaño y en el baño resulta bastante práctico que el inodoro esté separado.",5,Hotel Roca Negra del Arenal,alojamiento,booking
"Todo. Es un lugar maravilloso. Jardín muy cuidado con muchas flores y colibrís. La cabaña está bien equipada y cuidada. Las camas son cómodas. Ducha caliente con buena presión. Hay conexión wifi en todo el reciento. Y terminar el día con un baño en el jacuzzi calentito, es una gran experiencia. Volveríamos sin dudarlo.
Sin tener que coger coche hay acceso a algunos restaurantes y tiendas.
También destacar la gran atención recibida por parte de Elisa y todo el equipo. Desayuno fantástico y recién hecho. Quizás que no tiene restaurante para cenar. Y le añadiríamos una cortina o mampara a la ducha. Aún así, la experiencia fue de 10.",5,Hotel Roca Negra del Arenal,alojamiento,booking
Los juegos que tenia junto a la piscina WiFi...,5,Hotel Roca Negra del Arenal,alojamiento,booking
"La verdad quede encantado con el Hotel.
El personal muy amable y ni hablar de las instalaciones que esta rodeado de naturaleza. Deberían tener servicio de comida de almuerzo y cena",5,Hotel Roca Negra del Arenal,alojamiento,booking
